user_id,recomendations
1,"[1000753, 1133018, 856942, 931136, 940947]"
3,"[874972, 995242, 981760, 1053690, 921345]"
6,"[1000753, 1106523, 1119051, 981760, 1037863]"
7,"[1000753, 981760, 1106523, 1122358, 961554]"
8,"[874972, 908531, 950824, 1005186, 969932]"
9,"[1000753, 1133018, 948254, 957741, 856772]"
13,"[874972, 981760, 1029743, 1038985, 923746]"
14,"[874972, 1106523, 981760, 1025611, 907128]"
15,"[1000753, 5569230, 1029743, 845208, 923746]"
16,"[1000753, 1029743, 1035843, 923149, 981760]"
17,"[12731432, 874972, 1133018, 896085, 1044078]"
18,"[874972, 1029743, 5569230, 961620, 909750]"
19,"[874972, 951590, 908531, 1029743, 1044078]"
20,"[874972, 995242, 1075368, 945611, 8090536]"
22,"[874972, 995242, 1104349, 991874, 944836]"
23,"[1000753, 1133018, 1075368, 981760, 934399]"
24,"[1000753, 1029743, 1092026, 908531, 926905]"
25,"[1000753, 5569230, 1029743, 1012284, 929018]"
26,"[1000753, 1106523, 9707137, 923746, 5591154]"
27,"[1000753, 995242, 887503, 1102416, 1031923]"
28,"[874972, 995242, 1005186, 992730, 916122]"
29,"[1000753, 1133018, 898510, 925626, 5568378]"
30,"[1000753, 995242, 1005186, 923746, 995311]"
31,"[874972, 995242, 1062128, 1040807, 854852]"
32,"[874972, 995242, 8293447, 1003649, 1105488]"
33,"[1000753, 995242, 1005186, 969866, 1096036]"
34,"[1000753, 995242, 1127831, 879755, 981760]"
35,"[1000753, 995242, 908531, 914190, 1128016]"
36,"[1000753, 1133018, 962229, 865705, 1031260]"
37,"[1000753, 995242, 1067695, 844165, 1046689]"
39,"[1000753, 995242, 923746, 1058930, 903325]"
40,"[874972, 1029743, 903325, 961554, 8273833]"
41,"[874972, 995242, 5569230, 1120009, 981760]"
42,"[874972, 995242, 981760, 1060673, 6602697]"
43,"[1000753, 981760, 1133018, 1010190, 908531]"
46,"[1000753, 1133018, 862335, 981760, 1121360]"
47,"[1000753, 1029743, 1005186, 916122, 951590]"
48,"[874972, 995242, 916122, 8090521, 834158]"
49,"[874972, 995242, 5569230, 893501, 962229]"
52,"[1000753, 995242, 1053690, 1116020, 1074754]"
53,"[833940, 874972, 995242, 6034857, 5569471]"
55,"[1000753, 1029743, 844165, 882496, 890610]"
56,"[874972, 1029743, 963835, 981760, 908531]"
